,Title,Genre,Director,Actors,Plot
56,"Definitely, Maybe","Comedy, Drama, Romance            ",Adam Brooks,"['Ryan Reynolds', 'Rachel Weisz', 'Abigail Breslin', 'An Nguyen']",A political consultant tries to explain his impending divorce and past relationships to his 11-year-old daughter.
57,The Sound of Music,"Biography, Drama, Family            ",Robert Wise,"['Julie Andrews', 'Christopher Plummer', 'Eleanor Parker', 'Richard Haydn']",A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.
58,I Still Believe,"Biography, Drama, Music            ",Andrew Erwin,"['Jon Erwin', 'K.J. Apa', 'Britt Robertson', 'Nathan Parsons', 'Gary Sinise']",The true-life story of Christian music star Jeremy Camp and his journey of love and loss that looks to prove there is always hope.
59,Footloose,"Drama, Music, Romance            ",Herbert Ross,"['Kevin Bacon', 'Lori Singer', 'John Lithgow', 'Dianne Wiest']","A city teenager moves to a small town where rock music and dancing have been banned, and his rebellious spirit shakes up the populace."
60,The Perks of Being a Wallflower,"Drama, Romance            ",Stephen Chbosky,"['Logan Lerman', 'Emma Watson', 'Ezra Miller', 'Paul Rudd']",An introvert freshman is taken under the wings of two seniors who welcome him to the real world.
61,Casablanca,"Drama, Romance, War            ",Michael Curtiz,"['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid', 'Claude Rains']",A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.
62,Murder Mystery,"Action, Comedy, Crime            ",Kyle Newacheck,"['Adam Sandler', 'Jennifer Aniston', 'Luke Evans', 'Terence Stamp']","A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire."
63,Me Before You,"Drama, Romance            ",Thea Sharrock,"['Emilia Clarke', 'Sam Claflin', 'Janet McTeer', 'Charles Dance']",A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.
64,Long Shot,"Comedy, Romance            ",Jonathan Levine,"['Charlize Theron', 'Seth Rogen', 'June Diane Raphael', ""O'Shea Jackson Jr.""]","Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks fly."
65,Pearl Harbor,"Action, Drama, History            ",Michael Bay,"['Ben Affleck', 'Kate Beckinsale', 'Josh Hartnett', 'William Lee Scott']",A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.
