,Title,Genre,Director,Actors,Plot
723,Secondhand Lions,"Comedy, Drama, Family            ",Tim McCanlies,"['Haley Joel Osment', 'Michael Caine', 'Robert Duvall', 'Kyra Sedgwick']","A coming-of-age story about a shy, young boy sent by his irresponsible mother to spend the summer with his wealthy, eccentric uncles in Texas."
724,Sideways,"Comedy, Drama, Romance            ",Alexander Payne,"['Paul Giamatti', 'Thomas Haden Church', 'Virginia Madsen', 'Sandra Oh']","Two men reaching middle age with not much to show but disappointment embark on a week-long road trip through California's wine country, just as one is about to take a trip down the aisle."
725,Torque,"Action, Comedy, Crime            ",Joseph Kahn,"['Martin Henderson', 'Ice Cube', 'Monet Mazur', 'John Ashker']",A biker returns from Thailand to set things straight with his girlfriend. One gang leader wants him for delivery of 2 motorbikes filled with crystal meth and another gang leader wants him for murdering his brother.
726,Only Lovers Left Alive,"Comedy, Drama, Fantasy            ",Jim Jarmusch,"['Tilda Swinton', 'Tom Hiddleston', 'Mia Wasikowska', 'John Hurt']","A depressed musician reunites with his lover. Though their romance, which has already endured several centuries, is disrupted by the arrival of her uncontrollable younger sister."
727,Time Bandits,"Adventure, Comedy, Fantasy            ",Terry Gilliam,"['Sean Connery', 'Shelley Duvall', 'John Cleese', 'Katherine Helmond']","A young boy accidentally joins a band of time travelling dwarves, as they jump from era to era looking for treasure to steal."
728,Better Off Dead...,"Comedy, Romance            ",Savage Steve Holland,"['John Cusack', 'David Ogden Stiers', 'Kim Darby', 'Demian Slade']","A teenager has to deal with his girlfriend dumping him among family crises, homicidal paper boys, and a rival skier."
729,Between Two Ferns: The Movie,Comedy            ,Scott Aukerman,"['Zach Galifianakis', 'Matthew McConaughey', 'Rekha Shankar', 'Olivia Mekdara']",Zach Galifianakis and his oddball crew take a road trip to complete a series of high-profile celebrity interviews.
730,2 Guns,"Action, Comedy, Thriller            ",Baltasar Kormákur,"['Denzel Washington', 'Mark Wahlberg', 'Paula Patton', 'Bill Paxton']","Two hardened criminals get into trouble with the US border patrol after meeting with a Mexican drug lord, and then revelations start to unfold."
731,Sleeping with Other People,"Comedy, Drama, Romance            ",Leslye Headland,"['Jason Sudeikis', 'Alison Brie', 'Jordan Carlos', 'Margarita Levieva']","A good-natured womanizer and a serial cheater form a platonic relationship that helps reform them in ways, while a mutual attraction sets in."
732,How the Grinch Stole Christmas,"Comedy, Family, Fantasy            ",Ron Howard,"['Jim Carrey', 'Taylor Momsen', 'Kelley', 'Jeffrey Tambor']","On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town."
733,Promising Young Woman,"Comedy, Crime, Drama            ",Emerald Fennell,"['Carey Mulligan', 'Bo Burnham', 'Laverne Cox', 'Clancy Brown']","A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who cross her path."
