,Title,Genre,Director,Actors,Plot
50,Harry Potter and the Chamber of Secrets,"Adventure, Family, Fantasy            ",Chris Columbus,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Richard Harris']",An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.
51,Donnie Darko,"Drama, Mystery, Sci-Fi            ",Richard Kelly,"['Jake Gyllenhaal', 'Jena Malone', 'Mary McDonnell', 'Holmes Osborne']","After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes."
52,Twelve Monkeys,"Mystery, Sci-Fi, Thriller            ",Terry Gilliam,"['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt', 'Joseph Melito']","In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
53,Unfriended: Dark Web,"Horror, Mystery, Thriller            ",Stephen Susco,"['Colin Woodell', 'Stephanie Nogueras', 'Betty Gabriel', 'Rebecca Rittenhouse']","A teen comes into possession of a new laptop and soon discovers that the previous owner is not only watching him, but will also do anything to get it back."
54,Minority Report,"Action, Crime, Mystery            ",Steven Spielberg,"['Tom Cruise', 'Colin Farrell', 'Samantha Morton', 'Max von Sydow']","In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder."
55,The Sixth Sense,"Drama, Mystery, Thriller            ",M. Night Shyamalan,"['Bruce Willis', 'Haley Joel Osment', 'Toni Collette', 'Olivia Williams']",A boy who communicates with spirits seeks the help of a disheartened child psychologist.
56,Clue,"Comedy, Crime, Mystery            ",Jonathan Lynn,"['Eileen Brennan', 'Tim Curry', 'Madeline Kahn', 'Christopher Lloyd']","Six guests are anonymously invited to a strange mansion for dinner, but after their host is killed, they must cooperate with the staff to identify the murderer as the bodies pile up."
57,The Postcard Killings,"Crime, Drama, Mystery            ",Danis Tanovic,"['Jeffrey Dean Morgan', 'Famke Janssen', 'Cush Jumbo', 'Joachim Król']",A New York detective investigates the death of his daughter who was murdered while on her honeymoon in London; he recruits the help of a Scandinavian journalist when other couples throughout Europe suffer a similar fate.
58,The Nice Guys,"Action, Comedy, Crime            ",Shane Black,"['Russell Crowe', 'Ryan Gosling', 'Angourie Rice', 'Matt Bomer']","In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star."
59,Den of Thieves,"Action, Crime, Drama            ",Christian Gudegast,"['Gerard Butler', 'Pablo Schreiber', ""O'Shea Jackson Jr."", '50 Cent']",An elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew clash as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.
60,The Killing of a Sacred Deer,"Drama, Horror, Mystery            ",Yorgos Lanthimos,"['Barry G. Bernson', 'Herb Caillouet', 'Bill Camp', 'Raffey Cassidy']","Steven, a charismatic surgeon, is forced to make an unthinkable sacrifice after his life starts to fall apart, when the behavior of a teenage boy he has taken under his wing turns sinister."
61,The VVitch: A New-England Folktale,"Drama, Horror, Mystery            ",Robert Eggers,"['Anya Taylor-Joy', 'Ralph Ineson', 'Kate Dickie', 'Julian Richings']","A family in 1630s New England is torn apart by the forces of witchcraft, black magic, and possession."
62,Constantine,"Action, Fantasy, Horror            ",Francis Lawrence,"['Keanu Reeves', 'Rachel Weisz', 'Djimon Hounsou', 'Shia LaBeouf']","Supernatural exorcist and demonologist John Constantine helps a policewoman prove her sister's death was not a suicide, but something more."
63,Murder Mystery,"Action, Comedy, Crime            ",Kyle Newacheck,"['Adam Sandler', 'Jennifer Aniston', 'Luke Evans', 'Terence Stamp']","A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire."
64,Luce,"Drama, Mystery            ",Julius Onah,"['Naomi Watts', 'Octavia Spencer', 'Kelvin Harrison Jr.', 'Tim Roth']","A married couple is forced to reckon with their idealized image of their son, adopted from war-torn Eritrea, after an alarming discovery by a devoted high school teacher threatens his status as an all-star student."
65,Oldeuboi,"Action, Drama, Mystery            ",Chan-wook Park,"['Min-sik Choi', 'Ji-Tae Yoo', 'Hye-jeong Kang', 'Dae-han Ji']","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
66,Harry Potter and the Deathly Hallows: Part 1,"Adventure, Family, Fantasy            ",David Yates,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Bill Nighy']","As Harry (Daniel Radcliffe), Ron (Rupert Grint), and Hermione (Emma Watson) race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows."
67,Sicario,"Action, Crime, Drama            ",Denis Villeneuve,"['Emily Blunt', 'Josh Brolin', 'Benicio Del Toro', 'Jon Bernthal']",An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.
68,Arrival,"Drama, Mystery, Sci-Fi            ",Denis Villeneuve,"['Amy Adams', 'Jeremy Renner', 'Forest Whitaker', 'Michael Stuhlbarg']",A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.
69,Enemy,"Drama, Mystery, Thriller            ",Denis Villeneuve,"['Jake Gyllenhaal', 'Mélanie Laurent', 'Sarah Gadon', 'Isabella Rossellini']",A man seeks out his exact look-alike after spotting him in a movie.
70,Inside Man,"Crime, Drama, Mystery            ",Spike Lee,"['Denzel Washington', 'Clive Owen', 'Jodie Foster', 'Christopher Plummer']","A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation."
71,The Lovebirds,"Action, Comedy, Crime            ",Michael Showalter,"['Issa Rae', 'Kumail Nanjiani', 'Paul Sparks', 'Anna Camp']",A couple (Issa Rae and Kumail Nanjiani) experiences a defining moment in their relationship when they are unintentionally embroiled in a murder mystery.
72,Annihilation,"Adventure, Drama, Horror            ",Alex Garland,"['Natalie Portman', 'Jennifer Jason Leigh', 'Tessa Thompson', 'Benedict Wong']","A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply."
73,The Hunger Games: Catching Fire,"Action, Adventure, Mystery            ",Francis Lawrence,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Philip Seymour Hoffman']",Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.
74,Prometheus,"Adventure, Mystery, Sci-Fi            ",Ridley Scott,"['Noomi Rapace', 'Logan Marshall-Green', 'Michael Fassbender', 'Charlize Theron']","Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone."
75,The Conjuring,"Horror, Mystery, Thriller            ",James Wan,"['Patrick Wilson', 'Vera Farmiga', 'Ron Livingston', 'Lili Taylor']",Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.
76,Session 9,"Horror, Mystery            ",Brad Anderson,"['David Caruso', 'Stephen Gevedon', 'Paul Guilfoyle', 'Josh Lucas']",Tensions rise within an asbestos cleaning crew as they work in an abandoned mental hospital with a horrific past that seems to be coming back.
77,Harry Potter and the Half-Blood Prince,"Action, Adventure, Family            ",David Yates,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Michael Gambon']","As Harry Potter (Daniel Radcliffe) begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's (Ralph Fiennes') dark past."
78,Mulholland Dr.,"Drama, Mystery, Thriller            ",David Lynch,"['Naomi Watts', 'Laura Harring', 'Justin Theroux', 'Jeanne Bates']","After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality."
